node_id,x_coord,y_coord
283,-111.9219277,33.3637652
284,-111.9365611,33.3648029
285,-111.9368515,33.3722674
286,-111.9199211,33.3637722
287,-111.9182713,33.3637724
288,-111.9379428,33.371045
289,-111.9150011,33.3637652
290,-111.9332123,33.3715076
291,-111.9112332,33.3637652
292,-111.906635,33.3637864
293,-111.9049528,33.3637974
294,-111.9367128,33.3648022
295,-111.9026145,33.3638064
296,-111.9009026,33.3638087
297,-111.933668,33.3625034
298,-111.9284788,33.3492656
299,-111.9545689,33.3670364
300,-111.8975908,33.3638232
301,-111.8965955,33.3638323
302,-111.9363376,33.3492511
303,-111.941427,33.3491341
304,-111.9336508,33.3610768
305,-111.9078478,33.3341407
306,-111.9338517,33.3492511
307,-111.9589398,33.3741612
308,-111.9323444,33.3717799
309,-111.9323969,33.3698518
310,-111.9327402,33.369178
311,-111.9333925,33.3673716
312,-111.9349899,33.4232132
313,-111.9716262,33.3863159
314,-111.9714288,33.3833918
315,-111.9714374,33.3829332
316,-111.9714374,33.382238
317,-111.9110201,33.3962019
318,-111.9091222,33.3962279
319,-111.8958576,33.3322365
320,-111.9306933,33.4576658
321,-111.933757,33.3877519
322,-111.9340402,33.3872216
323,-111.9277064,33.4186462
324,-111.9521629,33.4079267
325,-111.9246401,33.3719823
326,-111.9239447,33.3615716
327,-111.9781079,33.4218308
328,-111.9249529,33.4345478
329,-111.9250667,33.434178
330,-111.9254456,33.4340465
331,-111.9262552,33.4340423
332,-111.9714481,33.3345625
333,-111.9248761,33.434197
334,-111.9631262,33.3284693
335,-111.9505051,33.3892285
336,-111.9635659,33.3285109
337,-111.9635645,33.3284234
338,-111.94993,33.3869926
339,-111.9500673,33.3864264
340,-111.9275446,33.4549988
341,-111.9274828,33.4582924
342,-111.9100072,33.3855742
343,-111.9557238,33.3258985
344,-111.9558869,33.3251814
345,-111.9560414,33.3244283
346,-111.9309214,33.3579512
347,-111.9556206,33.3928475
348,-111.9097584,33.3535099
349,-111.9556206,33.3923387
350,-111.9291763,33.3579655
351,-111.9183728,33.3373222
352,-111.9551399,33.3897087
353,-111.9551914,33.3904182
354,-111.9338794,33.3969636
355,-111.9338794,33.3971858
356,-111.9551828,33.3911491
357,-111.9191453,33.3377596
358,-111.9101051,33.3379575
359,-111.9090151,33.3378643
360,-111.9645674,33.430715
361,-111.8977335,33.4075573
362,-111.9552086,33.3865984
363,-111.9081225,33.3378715
364,-111.9569264,33.3714005
365,-111.9564543,33.3720528
366,-111.9226315,33.3588474
367,-111.9217217,33.3589478
368,-111.9208205,33.3590338
369,-111.9144074,33.3372863
370,-111.9558304,33.3726506
371,-111.9198935,33.3590266
372,-111.9189923,33.3590266
373,-111.9581995,33.3707565
374,-111.9180825,33.3590482
375,-111.9572792,33.3716094
376,-111.9485796,33.4186498
377,-111.9485776,33.4179322
378,-111.9161942,33.35955
379,-111.9171727,33.3592059
380,-111.9485765,33.417801
381,-111.9275477,33.4548513
382,-111.9154818,33.3596934
383,-111.9485685,33.4168387
384,-111.9485672,33.4160819
385,-111.9485652,33.415209
386,-111.9485063,33.4145698
387,-111.9086091,33.3603455
388,-111.9518796,33.3809476
389,-111.9334692,33.4505218
390,-111.933699,33.4508524
391,-111.9518366,33.3814278
392,-111.8962446,33.400612
393,-111.8944937,33.400612
394,-111.9518195,33.3821804
395,-111.8936783,33.4006192
396,-111.951709,33.3827601
397,-111.9482108,33.3675899
398,-111.892015,33.4006126
399,-111.9515409,33.3758701
400,-111.9516348,33.3752205
401,-111.8962532,33.4002322
402,-111.9494616,33.4138146
403,-111.8973054,33.4002384
404,-111.9003419,33.3677437
405,-111.9494616,33.4144373
406,-111.9355586,33.3368738
407,-111.9365714,33.336881
408,-111.8997258,33.4002384
409,-111.9005361,33.4002251
410,-111.9011592,33.4002313
411,-111.9021891,33.4002169
412,-111.9031934,33.4001524
413,-111.9041153,33.4001463
414,-111.9063213,33.4001518
415,-111.9073825,33.4001524
416,-111.9002132,33.3675143
417,-111.9084576,33.400148
418,-111.9091331,33.4001487
419,-111.9186841,33.4184064
420,-111.909674,33.400147
421,-111.9057239,33.4175096
422,-111.9057314,33.4161425
423,-111.9783335,33.4093355
424,-111.9091914,33.3842909
425,-111.9106696,33.3998786
426,-111.9362293,33.365898
427,-111.9092721,33.3851859
428,-111.9116133,33.3995853
429,-111.9127316,33.3992751
430,-111.9133634,33.3991494
431,-111.9161644,33.3991081
432,-111.8928345,33.4200216
433,-111.8921979,33.420026
434,-111.9167437,33.3992226
435,-111.8949131,33.3564072
436,-111.8939909,33.3564095
437,-111.9021977,33.4004391
438,-111.9465486,33.4218985
439,-111.9481922,33.4219049
